bureau,personnel,external_ms,internal_ms,capital_outlay,total
Water Bureau,108098061,64756579,38079147,645353000,856286787
Bureau of Environmental Services,129668152,125628799,73276126,163018473,491591550
Portland Bureau of Transportation,183968275,100261801,61144356,143366368,488740800
Portland Police Bureau,238651362,24866730,53174243,0,316692335
Portland Parks & Recreation,133598410,95156456,35246310,34817132,298818308
Fire & Police Disability & Retirement,3625001,177236845,59986776,165001,241013623
Portland Housing Bureau,16182920,218865657,4371568,0,239420145
Bureau of Planning & Sustainability,31651279,179395026,8463708,0,219510013
Bureau of Human Resources,20390374,181868448,3712004,0,205970826
Portland Fire & Rescue,170308298,9375019,12946370,6500000,199129687
Bureau of Fleet & Facilities,25018544,48523715,11873800,93659160,179075219
Office of the Chief Financial Officer,36608003,84087696,27685268,0,148380967
Bureau of Technology Services,56879466,36024606,6747713,73075,99724860
City Administrator,9164480,82394041,2784044,0,94342565
Office of Community and Econ Development,2820930,17129439,768354,35054000,55772723
Office of City Operations,30312468,11360334,4665877,160000,46498679
Bureau of Emergency Communications,27464876,2509498,7234327,0,37208701
Office of the Public Safety DCA,19187711,10431539,1280419,0,30899669
Portland Children's Levy,1538036,25518601,80745,0,27137382
Fund and Debt Management,0,26514000,0,0,26514000
Office of the City Attorney,19084123,990521,2225575,0,22300219
Council,12215578,3916917,3415959,0,19548454
Prosper Portland,0,16174862,0,0,16174862
Office of the City Auditor,9060683,1690890,3433928,0,14185501
Special Appropriations,591360,11422785,218788,0,12232933
Portland Office of Emergency Management,4769590,3203901,1421314,0,9394805
Office of Community and Civic Life,1593107,2719686,756062,0,5068855
City Budget Office,3275658,604497,556972,0,4437127
Office of the Mayor,1999329,360973,1136290,0,3496592
Office of Equity,2668361,75583,499054,0,3242998
Office of Government Relations,2118508,461865,449517,0,3029890
Office of Public Works,2551476,5243,47226,0,2603945
Office of Vibrant Communities,0,0,0,0,0
